"Reporting starts","Reporting ends","Campaign name",Age,"Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)","Website leads","Meta leads",Leads,"Cost per lead (USD)"
2026-04-16,2026-05-15,"Traffic Ad",55-64,active,"Multiple attribution settings",57,actions:link_click,2415,1.429814,0.47157895,"Using ad set budget",0,26.88,Ongoing,3453,7.784535,57,,0.471579,1.650738,98,2.838112,0.274286,26,1.033846,,,,
2026-04-16,2026-05-15,"LP Different Audience Testing",55-64,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,426,1.873239,,60,Daily,45.79,Ongoing,798,57.380952,13,,3.522308,1.629073,20,2.506266,2.2895,8,5.72375,,,,
2026-04-16,2026-05-15,"LF ABO",55-64,inactive,"7-day click or 1-day view",3,actions:leadgen.other,778,1.682519,46.23,"Using ad set budget",0,138.69,Ongoing,1309,105.951108,34,,4.079118,2.597403,45,3.437739,3.082,2,69.345,,3,3,46.23
2026-04-16,2026-05-15,"LF ABO 3 ADS DIFFRENT AUDEINCE",55-64,inactive,"7-day click or 1-day view",,,223,1.35426,,30,Daily,24.24,Ongoing,302,80.264901,3,,8.08,0.993377,5,1.655629,4.848,,,,,,
2026-04-16,2026-05-15,"LF ABO Detailed",55-64,inactive,"7-day click or 1-day view",,,413,1.62954,,"Using ad set budget",0,58.47,Ongoing,673,86.879643,17,,3.439412,2.526003,26,3.863299,2.248846,,,,,,
2026-04-16,2026-05-15,"Lead Forms",55-64,active,"7-day click or 1-day view",,,331,1.314199,,"Using ad set budget",0,28.73,Ongoing,435,66.045977,6,,4.788333,1.37931,8,1.83908,3.59125,,,,,,
2026-04-16,2026-05-15,"LF Different Audience Testing",65+,inactive,"7-day click or 1-day view",5,actions:leadgen.other,1021,1.91381,70.228,20,Daily,351.14,Ongoing,1954,179.703173,62,,5.663548,3.172979,87,4.452405,4.036092,1,351.14,,5,5,70.228
2026-04-16,2026-05-15,"LF CBO 3 Ads Detailed",65+,inactive,"7-day click or 1-day view",3,actions:leadgen.other,595,1.608403,68.66333333,20,Daily,205.99,Ongoing,957,215.245559,38,,5.420789,3.970742,55,5.747126,3.745273,2,102.995,,3,3,68.663333
2026-04-16,2026-05-15,"Traffic Ad",65+,active,"Multiple attribution settings",69,actions:link_click,2758,1.509427,0.43188406,"Using ad set budget",0,29.8,Ongoing,4163,7.158299,69,,0.431884,1.657459,118,2.834494,0.252542,26,1.146154,,,,
2026-04-16,2026-05-15,"LP Different Audience Testing",65+,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,807,1.624535,,60,Daily,70.79,Ongoing,1311,53.996949,29,,2.441034,2.212052,47,3.58505,1.50617,23,3.077826,,,,
2026-04-16,2026-05-15,"LF ABO",65+,inactive,"7-day click or 1-day view",4,actions:leadgen.other,1368,1.862573,107.0975,"Using ad set budget",0,428.39,Ongoing,2548,168.127943,91,,4.707582,3.571429,127,4.984301,3.37315,1,428.39,,4,4,107.0975
2026-04-16,2026-05-15,"LF ABO 3 ADS DIFFRENT AUDEINCE",65+,inactive,"7-day click or 1-day view",,,453,1.348786,,30,Daily,77.58,Ongoing,611,126.972177,17,,4.563529,2.782324,27,4.418985,2.873333,,,,,,
2026-04-16,2026-05-15,"LF ABO Detailed",65+,inactive,"7-day click or 1-day view",1,actions:leadgen.other,727,1.605227,159.2,"Using ad set budget",0,159.2,Ongoing,1167,136.418166,47,,3.387234,4.027421,72,6.169666,2.211111,,,,1,1,159.2
2026-04-16,2026-05-15,"Lead Forms",65+,active,"7-day click or 1-day view",,,643,1.250389,,"Using ad set budget",0,105.61,Ongoing,804,131.355721,35,,3.017429,4.353234,51,6.343284,2.070784,,,,,,
