"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)"
2026-04-16,2026-05-15,"LF Different Audience Testing",inactive,"7-day click or 1-day view",9,actions:leadgen.other,4173,1.658279,74.68777778,20,Daily,672.19,Ongoing,6920,97.137283,120,,5.601583,1.734104,173,2.5,3.885491,4,168.0475
2026-04-16,2026-05-15,"LF CBO 3 Ads Detailed",inactive,"7-day click or 1-day view",6,actions:leadgen.other,2475,1.45899,69.605,20,Daily,417.63,Ongoing,3611,115.654943,73,,5.720959,2.021601,116,3.212407,3.600259,4,104.4075
2026-04-16,2026-05-15,"Traffic Ad",active,"Multiple attribution settings",947,actions:link_click,24099,1.924935,0.42956705,"Using ad set budget",0,406.8,Ongoing,46389,8.76932,947,,0.429567,2.041432,1579,3.403824,0.257631,432,0.941667
2026-04-16,2026-05-15,"LP Different Audience Testing",inactive,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_lead,3366,1.759655,261.08,60,Daily,261.08,Ongoing,5923,44.079014,102,,2.559608,1.7221,210,3.545501,1.243238,80,3.2635
2026-04-16,2026-05-15,"LF ABO",inactive,"7-day click or 1-day view",13,actions:leadgen.other,5237,1.572465,60.78307692,"Using ad set budget",0,790.18,Ongoing,8235,95.953855,193,,4.094197,2.343655,276,3.351548,2.862971,5,158.036
2026-04-16,2026-05-15,"LF ABO 3 ADS DIFFRENT AUDEINCE",inactive,"7-day click or 1-day view",1,actions:leadgen.other,1541,1.31538,140.09,30,Daily,140.09,Ongoing,2027,69.111988,36,,3.891389,1.776024,58,2.861371,2.415345,1,140.09
2026-04-16,2026-05-15,"LF ABO Detailed",inactive,"7-day click or 1-day view",1,actions:leadgen.other,2417,1.463384,298.53,"Using ad set budget",0,298.53,Ongoing,3537,84.402036,93,,3.21,2.629347,134,3.788521,2.227836,,
2026-04-16,2026-05-15,"Lead Forms",active,"7-day click or 1-day view",,,1571,1.246976,,"Using ad set budget",0,150.61,Ongoing,1959,76.881062,50,,3.0122,2.552323,68,3.471159,2.214853,,
