"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)"
2026-04-15,2026-05-14,"LF Different Audience Testing",inactive,"7-day click or 1-day view",9,actions:leadgen.other,4173,1.658279,74.68777778,20,Daily,672.19,Ongoing,6920,97.137283,120,,5.601583,1.734104,173,2.5,3.885491,4,168.0475
2026-04-15,2026-05-14,"LF CBO 3 Ads Detailed",inactive,"7-day click or 1-day view",6,actions:leadgen.other,2475,1.45899,69.605,20,Daily,417.63,Ongoing,3611,115.654943,73,,5.720959,2.021601,116,3.212407,3.600259,4,104.4075
2026-04-15,2026-05-14,"Traffic Ad",active,"Multiple attribution settings",940,actions:link_click,23935,1.925924,0.43026596,"Using ad set budget",0,404.45,Ongoing,46097,8.77389,940,,0.430266,2.039178,1568,3.401523,0.25794,429,0.942774
2026-04-15,2026-05-14,"LP Different Audience Testing",inactive,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_lead,3366,1.759655,261.08,60,Daily,261.08,Ongoing,5923,44.079014,102,,2.559608,1.7221,210,3.545501,1.243238,80,3.2635
2026-04-15,2026-05-14,"LF ABO",inactive,"7-day click or 1-day view",13,actions:leadgen.other,5237,1.572465,60.78307692,"Using ad set budget",0,790.18,Ongoing,8235,95.953855,193,,4.094197,2.343655,276,3.351548,2.862971,5,158.036
2026-04-15,2026-05-14,"LF ABO 3 ADS DIFFRENT AUDEINCE",inactive,"7-day click or 1-day view",1,actions:leadgen.other,1541,1.31538,140.09,30,Daily,140.09,Ongoing,2027,69.111988,36,,3.891389,1.776024,58,2.861371,2.415345,1,140.09
2026-04-15,2026-05-14,"LF ABO Detailed",inactive,"7-day click or 1-day view",1,actions:leadgen.other,2417,1.463384,298.53,"Using ad set budget",0,298.53,Ongoing,3537,84.402036,93,,3.21,2.629347,134,3.788521,2.227836,,
2026-04-15,2026-05-14,"Lead Forms",active,"7-day click or 1-day view",,,1191,1.196474,,"Using ad set budget",0,107.61,Ongoing,1425,75.515789,29,,3.71069,2.035088,39,2.736842,2.759231,,
